City,Slum_HH,PMAY.PMAY_HH,Surplus,Latitude,Longitude
Ahmedabad,51451,"2,43,417",191966,23.022505,72.5713621
Vadodara,18180,88203,70023,22.3000395,73.2064994
Surat,100038,156578,56540,21.1702401,72.83106070000001
Kalyan-Dombivli,21725,70423,48698,19.2149032,73.0908247
Vasai-Virar,8158,52939,44781,19.3919275,72.8397317
Panvel,2052,45439,43387,18.9894007,73.1175162
Rajkot,38557,73563,35006,22.3038945,70.80215989999999
Firozabad,11051,43455,32404,27.1591961,78.3957331
Agartala,11140,39455,28315,23.831457,91.2867777
Bengaluru,165341,"1,91,520",26179,12.9628957,77.57754
Palghar,532,23989,23457,19.6967136,72.769885
Ranchi,14426,33945,19519,23.3440997,85.309562
Gorakhpur,8056,26228,18172,26.7605545,83.3731675
Thiruvananthapuram,834,18508,17674,8.5241391,76.9366376
Badlapur,2349,19317,16968,19.1667854,73.2367896
Aurangabad,41723,58405,16682,19.875754,75.3393195
Chhindwara,2361,18378,16017,22.057437,78.9381729
Anantapur,20599,36055,15456,14.6824455,77.6017089
Lalitpur,1337,16744,15407,24.6911707,78.4138183
Gandhinagar,2446,17627,15181,23.2156354,72.63694149999999
Solapur,34859,49589,14730,17.6700736,75.9010467
Tezpur,787,15154,14367,26.6528495,92.7925592
Sagar,5354,19613,14259,23.838805,78.7378068
Kochi,1594,15182,13588,9.9312328,76.26730409999999
Dhanbad,2852,16384,13532,23.7956531,86.43038589999999
Mathura,22790,35510,12720,27.4924134,77.673673
Deoghar,4303,16966,12663,24.485179,86.694785
Punganur,4885,16338,11453,13.368608,78.5713232
Proddatur,12444,23661,11217,14.752624,78.5541053
Rayachoti,8951,20030,11079,14.0586263,78.7519382
Srikakulam,8263,19339,11076,18.2949165,83.89380179999999
Rajampet,3515,14298,10783,14.1969204,79.1554591
Ayodhya,307,10964,10657,26.7921605,82.1997954
Thiruvallur,2404,12992,10588,13.1226901,79.91176899999999
Tiruttani,941,11458,10517,13.1746411,79.611721
Mahesana,238,10543,10305,23.5879607,72.36932519999999
Jaunpur,1033,10815,9782,25.7464145,82.68370329999999
Madanapalle,7354,17009,9655,13.5560496,78.50100069999999
Mandapeta,6788,16361,9573,16.8626906,81.9263789
Tanuku,7471,16843,9372,16.751228,81.7075787
Junagadh,5017,14246,9229,21.5222203,70.4579436
Jamnagar,14077,23186,9109,22.4707019,70.05773
Bhavnagar,12119,20732,8613,21.7644725,72.15193040000001
Srikalahasti,7520,16039,8519,13.7527145,79.7066722
Karimganj,841,9208,8367,24.8643897,92.3685299
Nashik,41023,49334,8311,19.9993217,73.79001880000001
Palacole,6638,14804,8166,16.5179401,81.72534739999999
Nidadavole,5668,13670,8002,16.8970864,81.6634478
Anklesvar,1126,8677,7551,21.6264236,73.0151984
Alwar,682,8157,7475,27.5529907,76.6345735
Bhilwara,3206,10226,7020,25.3407388,74.63131829999999
Pimpri,28716,35721,7005,18.6263131,73.805498
Chas,1790,8792,7002,23.6361787,86.1828047
Gudur,4370,11289,6919,14.1303151,79.8647285
Ashoknagar,4886,11781,6895,24.5775148,77.7318495
Pulivendla,13054,19919,6865,14.4225713,78.2266618
Orai,1427,8269,6842,25.987523,79.4488695
Tadepalligudem,8219,15042,6823,16.8072523,81.5316033
Satara,1029,7752,6723,17.688671,74.005667
Khurai,3984,10635,6651,24.0434676,78.3303543
Kovvur,7016,13662,6646,17.0125618,81.727383
Gaya,6289,12727,6438,24.7913957,85.0002336
Palasa,6952,13295,6343,18.7723549,84.4109252
Jalgaon,5828,12133,6305,21.0076578,75.5626039
Gudivada,12330,18607,6277,16.4344461,80.9931388
Kharar,1158,7356,6198,30.7498676,76.64110939999999
Jammalamadugu,4844,10950,6106,14.8448555,78.38242149999999
Maharajganj,574,6672,6098,27.1446035,83.5621737
Fatehpur,87,6179,6092,25.9209503,80.7996035
Suri,2332,8400,6068,23.9129255,87.52683929999999
Baramati,794,6822,6028,18.1697256,74.5756196
Raghogarh,2802,8818,6016,24.4829658,77.1600201
Gumla,493,6473,5980,23.0441295,84.53794549999999
Hazaribag,2050,7920,5870,23.9924669,85.3636758
Nagar,60,5929,5869,32.1139526,77.1643337
Giridih,5940,11792,5852,24.189582,86.29823739999999
Bijapur,5982,11667,5685,16.8302397,75.71055799999999
Sitapur,171,5799,5628,27.5680156,80.6789519
Ponneri,2221,7846,5625,13.3340027,80.1943795
Anjar,4116,9702,5586,23.1166716,70.0281023
Jamui,474,6058,5584,24.9255887,86.2258592
Alur,896,6425,5529,12.9786464,75.9954304
Garhakota,1509,7021,5512,23.7795115,79.1435963
Kollam,2761,8215,5454,8.8932118,76.6141396
Guna,1319,6521,5202,24.6323648,77.3001762
Kakinada,28829,34001,5172,16.9478217,82.2420317
Zirakpur,1364,6511,5147,30.6425496,76.8173359
Ambikapur,4010,9017,5007,23.1294374,83.1861138
Basti,1148,6119,4971,26.8139844,82.7629893
Bishrampur,240,5201,4961,23.1853347,82.9675226
Machilipatnam,24743,29683,4940,16.1808917,81.1302716
Arambag,102,5030,4928,22.8765026,87.7909507
Ponnur,6174,11098,4924,16.0685692,80.5482363
Bhinga,252,5051,4799,27.7040698,81.9298985
Tinsukia,172,4877,4705,27.4885539,95.355758
Sikar,583,5261,4678,27.6093912,75.1397935
Jaggaiahpet,6922,11541,4619,16.898534,80.103347
Ichchapuram,6608,11213,4605,19.1127596,84.68437229999999
Burhanpur,11483,16060,4577,21.3145021,76.2180095
Pilibhit,1302,5870,4568,28.62494,79.8075272
Hyderabad,314,4597,4283,17.406498,78.47724389999999
Jhumri,570,4781,4211,24.4459566,85.5599234
Jamshedpur,8829,13016,4187,22.8045665,86.2028754
Medininagar,2704,6830,4126,24.0465121,84.07684619999999
Jammu,1321,5419,4098,32.7266016,74.8570259
Nagari,3410,7486,4076,13.3193127,79.586075
Kalol,1442,5512,4070,23.2418194,72.49297159999999
Jalpaiguri,5292,9358,4066,26.5214579,88.7195567
Thiruporur,1249,5292,4043,12.7303628,80.1890413
Bharuch,2742,6776,4034,21.7051358,72.9958748
Patan,733,4747,4014,23.8500156,72.1210274
Jaipur,61858,65864,4006,26.9124336,75.7872709
Sandur,525,4514,3989,15.0873798,76.5477411
Salur,8798,12769,3971,18.5169856,83.20394189999999
Bahraich,1303,5226,3923,27.5705152,81.59766719999999
Bisalpur,882,4802,3920,28.2937839,79.804459
S.A.S.,1062,4979,3917,19.0549732,72.85088259999999
Kamalapuram,1846,5736,3890,14.5993596,78.66975529999999
Surendranagar,521,4387,3866,22.7523154,71.61838519999999
Talegaon,669,4487,3818,18.7174656,73.6815807
Palanpur,3530,7301,3771,24.1724338,72.434581
Silchar,4746,8515,3769,24.8332708,92.7789054
Chunar,1531,5259,3728,25.1036684,82.8721383
Amadalavalasa,6778,10479,3701,18.4101166,83.902951
Simdega,677,4345,3668,22.6133396,84.5018278
Valsad,1020,4672,3652,20.5992349,72.9342451
Gaura,2166,5780,3614,31.4116814,75.34267539999999
Chandrakona,1347,4929,3582,22.7301482,87.5114547
Gauripur,1515,5093,3578,26.0916341,89.9655224
Bhuj,258,3827,3569,23.2419997,69.6669324
Khunti,514,4078,3564,23.0797595,85.2774207
Nellore,48741,52301,3560,14.4425987,79.98645599999999
Wadhwan,144,3682,3538,22.711454,71.6732681
Parvathipuram,9305,12819,3514,18.7829598,83.4300877
Rabupura,764,4264,3500,28.2504825,77.590597
Gurgaon,30888,34368,3480,28.4594965,77.0266383
Khowai,987,4432,3445,24.0688744,91.6037913
Sahibganj,256,3667,3411,25.2381216,87.64535920000002
Botad,68,3464,3396,22.1722509,71.663622
Basukinath,515,3797,3282,24.3863547,87.07990769999999
Jamtara,1118,4398,3280,23.9612357,86.80480179999999
Bahadurganj,1816,5051,3235,26.2643148,87.8279577
Murliganj,781,3993,3212,25.901024,86.9949372
Gadarwara,1294,4478,3184,22.9225495,78.78340589999999
Kavali,9268,12436,3168,14.9132854,79.9930626
Tuni,8488,11634,3146,17.3573261,82.544292
Modasa,733,3867,3134,23.464311,73.29875779999999
Barwar,62,3195,3133,27.824835,80.2850929
Dadri,1938,5052,3114,28.5525772,77.55481
Lohardaga,1961,5033,3072,23.4415776,84.6869722
Berasia,392,3450,3058,23.6278576,77.4314466
Delhi,2771,5815,3044,28.7040592,77.10249019999999
Kasba,220,3264,3044,22.5195362,88.3827505
Mal,3210,6218,3008,26.8648542,88.74218309999999
Jagdishpur,168,3169,3001,25.4663449,84.4193916
Khopoli,4122,7116,2994,18.7939054,73.334643
Banmankhi,1114,4059,2945,25.889057,87.19124819999999
Dhaurehra,464,3403,2939,27.9968887,81.09062519999999
Nawabganj,1113,4040,2927,28.5405365,79.6305599
Gangapur,218,3145,2927,26.4833211,76.73400939999999
Pattamundai,675,3582,2907,20.5854927,86.5661006
Satna,4716,7599,2883,24.6005075,80.8322428
Badvel,10635,13516,2881,14.7304949,79.05974049999999
Manwath,445,3326,2881,19.3060901,76.49679189999999
Bobbili,11932,14802,2870,18.5727886,83.356381
Kabrai,310,3174,2864,25.3984963,80.0031833
