Name,Change_Area,Wards_Slums_Dwelling_Units,Wards_Slums_Population,Wards_Slums_Area,Wards_Slums_2024_Dwellling_Units,Wards_Slums_2024_Population,Wards_Slums_2024_Area,Market_Rate/sqft,% Change in 10Y
48 RAMOL HATHIJAN,0,5762,25963,528022.1898,5762,25963,528022.1898,4230,0.16
47 VATVA,,,,,,,,2450,0.531
46 LAMBHA,32793,,,32792.65575,,,,2500,0.195
45 ISANPUR,0,4105,18179,256534.8376,4105,18179,256534.8376,6754,0.21
44 KHOKHRA,56155,462,2033,67147.5163,237,1020,10992.40893,5938,0.489
43 BHAIPURA HATKESHWAR,4175,26,117,6559.255536,,,2383.864553,,
42 INDRAPURI,13993,547,2462,13993.44279,,,,6850,0.368
41 VASTRAL,,,,,,,,3500,0.599
40 ODHAV,84498,1301,5855,181269.0883,1286,5787,96770.84092,5996,0.3426
39 AMRAIWADI,36233,1238,4548,53492.84388,331,591,17260.01287,5076,0.0978
38 GOMTIPUR,34921,550,2263,34920.72002,,,,6995,0.456
37 MANINAGAR,47599,4981,22251,333737.9258,4797,21422,286139.1307,4800,0.371
36 DANILIMDA,19885,5161,22817,300914.0283,5132,22686,281028.9095,6599,0.346
35 BAHERAMPURA,-39457,4882,20857,320615.5359,5022,21487,360072.9163,4663,0.456
34 MAKTAMPURA,,,,,,,,5932,0.014
33 SARKHEJ,,,,,,,,4300,0.265
32 VEJALPUR,0,439,2478,68721.29575,439,2478,68721.29575,4750,0.583
31 VASNA,14518,2542,10859,415602.623,2012,8677,401084.3643,4850,0.09
30 PALDI,25089,2992,13275,130678.2732,2791,12370,105589.4532,6000,0.1
29 JAMALPUR,17625,313,1311,45989.4766,240,982,28364.39682,6525,-0.035
28 KHADIA,31632,1557,6987,58126.58283,954,4275,26494.1302,3397,0.616
27 SARASPUR-RAKHIYAL,16560,1546,6781,99494.64726,1187,5280,82934.94629,4040,-0.5
26 BAPUNAGAR,0,467,2102,16037.83394,467,2102,16037.83394,6160,0.06
25 VIRATNAGAR,,,,,,,,6870,0.9
24 NIKOL,,,,,,,,3750,0.7
23 THAKKARBAPANAGAR,,,,,,,,,
22 INDIA COLONY,0,991,4452,139899.9446,991,4452,139899.9446,5503,0.2
21 DARIYAPUR,0,47,212,2333.936199,47,212,2333.936199,3959,-0.2
20 JODHPUR,0,439,2478,68721.29575,439,2478,68721.29575,7150,0.25
19 BODAKDEV,42734,1142,5425,92165.24715,713,3387,49431.04801,7500,0.56
18 NAVRANGPURA,47995,3660,17065,170750.9451,3110,14503,122756.1651,6500,0.25
17 SHAHPUR,75554,6967,31407,316063.0305,6012,27126,240508.6396,11500,0.473
16 SHAHIBAG,48088,3286,13979,226310.075,3000,12695,178222.3987,7650,0.168
15 ASARWA,83204,3366,14729,285527.0696,2985,13260,202322.9962,3603,0.578
14 KUBERNAGR,,,,,,,,4745,0.34
13 SAIJPUR BOGHA,0,1061,4775,46184.06162,1061,4775,46184.06162,,
12 NARODA,,,,,,,,3150,0.37
11 SARDARNAGAR,0,1131,5090,248448.9165,1131,5090,248448.9165,8656,0.51
10 S.P.STADIUM,276831,2963,13439,342259.2969,1984,8934,65427.96018,8303,0.028
